"filename", "language", "HTML", "JavaScript", "TypeScript", "Markdown", "JSON", "JSON with Comments", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\.VSCodeCounter\2026-01-18_20-00-26\details.md", "Markdown", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 6, 120
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\.VSCodeCounter\2026-01-18_20-00-26\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\.VSCodeCounter\2026-01-18_20-00-26\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\.VSCodeCounter\2026-01-18_20-00-26\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\.VSCodeCounter\2026-01-18_20-00-26\results.md", "Markdown", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 7, 50
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\ARCHITECTURE.md", "Markdown", 0, 0, 0, 542, 0, 0, 0, 0, 0, 0, 138, 680
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\README.md", "Markdown", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 14, 75
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\TESTING_STORY_7.1.md", "Markdown", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 58, 156
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\eslint.config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\package-lock.json", "JSON", 0, 0, 0, 0, 9700, 0, 0, 0, 0, 0, 1, 9701
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\package.json", "JSON", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 1, 98
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 153, 0, 0, 9, 4, 166
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\git-repos\FinalProject\frontend\hc-bookstore-admin\src\components\AppSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 215, 0, 0, 14, 19, 248
